"year","BA","DM","DO","DS","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO"
1981,0,83,20,73,0,4,8,0,0,0,0,10,0,0,0
1982,0,128,26,115,0,10,19,0,0,0,7,14,0,7,0
1983,0,109,37,84,0,6,22,0,0,0,3,17,0,8,0
1984,0,86,23,16,0,7,1,1,0,0,3,10,0,6,0
1985,0,97,39,28,0,6,0,0,0,0,0,6,0,1,0
1986,0,117,27,31,0,6,0,0,0,0,5,6,0,2,0
1987,0,157,59,43,0,28,0,0,0,0,18,13,0,13,0
1988,0,109,52,24,0,18,1,0,0,0,0,8,0,3,0
1989,0,118,31,16,0,11,0,0,0,0,0,5,5,20,0
1990,0,150,58,8,0,0,0,4,0,0,0,1,0,1,0
1991,0,139,28,7,0,3,3,0,0,0,0,17,0,6,0
1992,0,138,35,12,0,3,6,0,0,0,0,37,0,4,0
1993,0,88,12,11,0,1,12,0,0,0,0,17,0,2,0
1994,0,102,9,7,0,0,3,0,0,0,0,8,0,1,0
1995,0,185,11,0,0,0,22,0,1,0,0,75,0,2,0
1996,0,167,39,0,7,7,54,0,0,0,5,63,0,9,0
1997,0,237,71,3,36,3,33,0,0,0,33,102,0,13,0
1998,0,191,28,3,34,2,2,0,0,0,3,80,0,0,0
1999,0,91,30,4,19,0,0,0,0,0,2,21,0,0,0
2000,0,103,35,0,141,0,0,0,0,0,0,123,0,0,0
2001,0,152,33,0,90,4,11,0,0,0,1,134,0,0,0
2002,0,90,79,0,92,11,4,0,4,0,0,113,0,0,0
2004,0,76,49,0,69,0,0,0,4,0,0,131,0,0,0
2005,0,80,71,0,140,5,0,0,30,0,0,257,0,0,0
2006,0,82,44,0,51,0,3,0,1,0,1,217,0,0,0
2007,4,102,97,0,379,15,9,0,0,4,13,351,0,12,0
2008,13,169,182,17,122,4,24,0,0,1,15,166,0,11,0
2011,0,83,13,0,1,0,3,0,0,0,0,201,0,0,0
2014,3,209,59,0,23,9,0,0,0,0,0,386,0,2,0
2015,47,180,62,0,20,41,14,0,0,0,5,397,0,49,0
2016,1,205,69,4,1,6,0,0,0,0,0,165,0,7,0
2017,0,182,52,1,0,9,0,0,0,2,0,250,0,1,1
