"year","ambr arte","astr allo","astr nutt","bail mult","caly wrig","chae stev","chen frem","cryp cras","cryp micr","dale brac","desc obtu","desc pinn","dith wisl","eria diff","erig dive","erio aber","erio lemm","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","hete suba","laen coul","lapp redo","lepi lasi","lesq gord","lina bige","lina texa","lupi conc","mala fend","micr lene","nama hisp","oeno prim","pani hirt","pect recu","phac ariz","plan purs","schi barb","sper echi","spha coul","step exig","vulp octo"
1982,0,0,0,20,0,0,0,8,60,0,0,168,4,644,0,7480,0,12,0,0,108,4,0,0,0,96,52,0,0,0,396,0,0,0,0,0,164,0,0,4,0,0,0
1983,0,1,24,8,0,2,0,41,160,0,0,234,0,1683,14,3029,0,13,2,0,80,14,0,0,0,44,27,0,0,0,238,27,0,0,0,0,64,0,0,25,0,0,0
1984,0,32,22,156,0,35,0,482,172,0,0,64,0,16318,202,131,0,458,4,0,224,262,0,0,0,22,665,0,0,0,61,94,0,0,0,0,16,875,0,42,0,3,0
1985,0,6,33,149,0,30,0,137,98,0,0,104,0,2159,38,151,0,144,5,0,29,1049,0,0,0,9,131,0,0,0,88,123,0,0,0,0,10,186,0,55,0,14,0
1986,0,4,46,160,0,41,0,5,26,0,0,14,0,306,67,362,0,235,24,0,2,2851,0,0,0,4,65,0,0,0,12,4,0,0,0,0,1,73,0,28,0,2,0
1987,0,10,132,130,0,133,0,28,308,0,0,108,0,923,111,1068,0,821,16,0,41,5500,0,0,0,19,151,0,0,0,85,72,0,0,0,0,53,887,0,100,0,13,0
1988,0,2,229,18,0,315,0,2,72,0,0,20,0,627,4,106,0,247,2,0,5,3637,0,0,0,1,27,0,0,0,12,20,0,0,0,0,6,134,0,29,0,3,0
1989,0,2,723,79,0,20,0,8,64,0,0,0,0,320,16,84,0,766,5,0,2,17620,0,0,0,3,79,0,0,0,0,1,0,0,0,0,2,174,0,57,0,0,0
1990,0,6,102,24,0,0,0,0,0,0,0,0,2,3,0,4,25,47,8,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0
1991,0,5,272,8,0,17,17,2,4,0,0,2,25,105,14,44,0,4,0,0,6,241,0,0,1,2,0,0,0,10,16,8,1,4,0,0,17,7,0,9,0,1,0
1992,0,0,259,2,2,317,7,4,14,205,0,25,0,1744,10,1171,0,36,0,0,85,8208,0,0,3,75,201,0,0,10,30,27,0,12,0,0,9,209,0,30,0,21,0
1993,0,3,924,2,0,494,6,2,80,0,0,153,0,1073,14,431,0,107,39,3,120,9217,0,0,2,80,325,0,0,28,20,65,0,0,0,0,5,406,0,93,0,22,71
1994,0,0,138,1,6,315,6,1,77,0,0,26,0,237,0,54,0,340,5,1,1,231,0,0,0,33,0,0,0,0,0,25,0,0,0,0,0,92,0,1,0,21,24
1995,1,4,2939,0,23,207,17,5,258,0,0,74,0,792,4,93,0,287,2,14,44,253,0,0,4,43,106,0,1,79,0,33,0,8,0,0,84,188,0,332,0,25,102
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,1236,3,0,155,3,20,70,0,0,18,0,65,0,452,0,1809,2,69,5,289,0,0,29,5,351,57,0,19,2,41,0,7,0,0,53,436,0,50,0,3,19
1998,0,1,205,0,0,146,4,0,7,0,0,3,0,22,0,279,0,2711,2,10,1,21,0,0,0,3,125,22,0,1,0,23,0,1,0,0,4,346,2,24,0,3,29
1999,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2001,0,1,1139,0,2,63,142,13,7,0,0,34,0,97,0,0,0,1275,0,7,9,10,0,0,0,1,170,0,3,4,4,1,0,17,0,0,38,54,0,4,0,0,13
2002,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,232,0,371,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2003,0,0,0,0,0,17,0,8,1,0,0,46,0,6,0,42,0,2812,1,0,0,7,0,0,8,0,76,0,0,0,0,0,0,0,0,0,0,89,0,1,0,0,18
2004,0,0,41,0,1,35,0,3,1,0,0,17,0,4,0,43,0,2998,1,8,0,3,0,0,3,0,60,3,0,0,2,1,0,2,0,0,1,22,0,0,0,0,9
2005,0,0,593,0,0,297,0,26,0,0,0,87,0,13,0,750,0,1908,0,7,2,39,0,0,0,6,168,119,0,2,0,5,0,4,1,0,8,134,0,0,0,0,14
2007,0,0,462,1,0,0,0,4,0,1,0,3,0,0,0,0,0,1785,0,0,0,2,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2008,0,0,251,0,0,17,4,0,0,0,0,60,0,2,3,11,0,1410,0,0,4,14,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
2009,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2012,0,0,1335,0,0,63,0,0,0,0,3,62,0,1,0,0,0,504,0,21,0,0,0,0,5,8,102,21,0,2,0,0,0,6,0,0,75,85,0,2,1,0,0
2013,0,0,34,0,0,64,0,0,0,0,0,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,157,0,0,68,0,0,0,0,0,109,0,3,0,0,0,153,0,17,0,0,0,0,0,4,136,31,0,0,1,0,0,1,0,1,23,7,0,1,0,0,0
2015,0,0,189,1,0,33,0,1,0,0,7,38,0,6,0,46,0,94,0,14,0,0,1,6,0,13,200,2,0,1,0,0,0,12,0,0,4,21,0,2,0,0,0
2016,0,0,1,0,0,8,35,0,0,0,0,4,0,0,0,18,0,8,0,0,0,0,0,0,0,1,311,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
2017,0,4,247,0,0,19,119,1,3,0,0,26,1,2,6,185,0,241,1,23,0,0,0,0,2,24,423,11,0,0,0,1,0,5,0,0,26,70,0,5,0,0,0
